observation,id,gps_y,gps_x,date,year,group_size,n_piglets,weather
1,9,52.6437136131308,13.3141665226415,2013-06-07T00:00:00Z,2013,5,2,cloudy
2,11,52.6139140220202,13.2244734531835,2013-06-08T00:00:00Z,2013,5,10,sunny
3,26,52.4483717143096,13.6907486683325,2013-07-24T00:00:00Z,2013,10,4,sunny
4,32,52.4634087748726,13.2475189930395,2013-08-08T00:00:00Z,2013,1,1,sunny
5,56,52.613876,13.228008,2013-08-15T00:00:00Z,2013,10,4,sunny
6,85,52.3852123615131,13.6352591282324,2013-10-07T00:00:00Z,2013,10,7,cloudy
7,105,52.6281130364924,13.3186726337866,2013-11-26T00:00:00Z,2013,10,0,sunny
8,112,52.4647357123153,13.2548575169042,2014-01-02T00:00:00Z,2014,1,0,cloudy
9,114,52.6404585264032,13.2847695118383,2014-01-04T00:00:00Z,2014,1,0,cloudy
10,146,52.616765,13.2338935999999,2014-02-25T00:00:00Z,2014,10,0,cloudy
11,148,52.616765,13.2338935999999,2014-02-25T00:00:00Z,2014,10,0,cloudy
12,147,52.616765,13.2338935999999,2014-02-25T22:25:00Z,2014,10,0,cloudy
13,179,52.4647138,13.7226845,2014-03-04T00:00:00Z,2014,1,0,cloudy
14,183,52.6424232,13.3134344,2014-03-08T00:00:00Z,2014,10,15,sunny
15,188,52.5103958827129,13.2271342045263,2014-03-16T00:00:00Z,2014,5,0,sunny
16,189,52.5103697636768,13.2271771198705,2014-03-16T00:00:00Z,2014,10,7,sunny
17,191,52.5103093633466,13.2269303566412,2014-03-17T00:00:00Z,2014,5,NA,cloudy
18,217,52.5098212603341,13.2271771198705,2014-03-28T00:00:00Z,2014,10,8,sunny
19,227,52.4727161031112,13.1983380085423,2014-04-13T23:34:00Z,2014,10,7,sunny
20,229,52.6336090328808,13.3188872105077,2014-04-22T00:00:00Z,2014,10,8,cloudy
21,230,52.5726097619757,13.2887002891496,2014-04-23T22:26:00Z,2014,10,5,cloudy
22,241,52.6158682881483,13.2250742680029,2014-05-19T00:00:00Z,2014,5,NA,cloudy
23,255,52.621105291229,13.2282929188207,2014-06-13T00:00:00Z,2014,5,7,sunny
24,256,52.6175749425443,13.2265012031988,2014-06-13T00:00:00Z,2014,5,0,rainy
25,257,52.6214570077897,13.229054666181,2014-06-13T00:00:00Z,2014,5,7,sunny
26,258,52.6214700342747,13.2290224796728,2014-06-15T00:00:00Z,2014,5,3,cloudy
27,286,52.5097690215636,13.2198171383337,2014-08-06T00:00:00Z,2014,10,8,cloudy
28,297,52.6218999061053,13.2296876675085,2014-08-26T00:00:00Z,2014,10,2,sunny
29,303,52.4593067818345,13.2711063391165,2014-08-28T00:00:00Z,2014,10,0,cloudy
30,310,52.4593100505069,13.2711814409689,2014-09-01T00:00:00Z,2014,1,0,cloudy
31,344,52.4592969758155,13.2711707121328,2014-09-07T00:00:00Z,2014,1,0,cloudy
32,351,52.6164154670326,13.2254175907568,2014-09-10T00:00:00Z,2014,5,3,cloudy
33,368,52.6249609925207,13.3178786999181,2014-09-18T00:00:00Z,2014,10,0,sunny
34,382,52.631073,13.336958,2014-09-23T00:00:00Z,2014,5,3,cloudy
35,472,52.45884916529,13.2720853454068,2014-10-30T00:00:00Z,2014,10,12,sunny
36,474,52.6165099198383,13.2336519724325,2014-10-30T00:00:00Z,2014,10,3,cloudy
37,484,52.4497448763368,13.2385067707494,2014-11-05T18:49:00Z,2014,10,NA,rainy
38,496,52.4496010232747,13.2380776173071,2014-11-28T19:49:00Z,2014,1,0,cloudy
39,501,52.6087152494905,13.2187442547277,2015-01-04T00:00:00Z,2015,10,0,cloudy
40,510,52.5437111270723,13.1654219395117,2015-02-19T14:13:00Z,2015,1,0,cloudy
41,512,52.6189297963695,13.226726508756,2015-02-28T10:24:00Z,2015,5,0,cloudy
42,513,52.6205060639129,13.2240442997411,2015-02-28T10:37:00Z,2015,5,0,sunny
43,514,52.6084383551957,13.2992373472646,2015-03-03T20:51:00Z,2015,5,0,cloudy
44,519,52.6165262047843,13.2211475140051,2015-03-22T15:12:00Z,2015,5,0,sunny
45,520,52.6152429324781,13.224022842069,2015-03-29T21:38:00Z,2015,1,0,rainy
46,538,52.6213006896672,13.2280354267553,2015-05-14T13:21:00Z,2015,5,4,cloudy
47,539,52.618265402137,13.2272200352148,2015-05-14T13:26:00Z,2015,1,2,sunny
48,540,52.6146827104382,13.2238726383642,2015-05-14T13:31:00Z,2015,5,NA,sunny
49,541,52.5953467486299,13.2799286405773,2015-05-14T18:54:00Z,2015,1,0,cloudy
50,542,52.5997156164385,13.2868294365747,2015-05-14T19:06:00Z,2015,10,9,cloudy
51,552,52.410382,13.121622,2015-05-29T08:25:00Z,2015,10,10,cloudy
