,ch,sex,habitat,infected
1,0000001,Female,rural,No
2,0000001,Female,rural,NA
3,0000001,Female,rural,NA
4,0000001,Female,rural,NA
5,0000001,Female,rural,NA
6,0000001,Female,rural,No
7,0000001,Female,rural,Yes
8,0000001,Female,rural,NA
9,0000001,Female,rural,No
10,0000001,Female,rural,Yes
11,0000001,Female,rural,Yes
12,0000001,Female,rural,No
13,0000001,Female,rural,Yes
14,0000001,Female,rural,NA
15,0000001,Female,rural,Yes
16,0000001,Female,rural,No
17,0000001,Female,rural,No
18,0000001,Female,rural,Yes
19,0000001,Female,rural,Yes
20,0000001,Female,rural,NA
21,0000001,Female,rural,NA
22,0000001,Female,rural,No
23,0000001,Male,rural,No
24,0000001,Male,rural,Yes
25,0000001,Male,rural,Yes
26,0000001,Male,rural,No
27,0000001,Male,rural,No
28,0000001,Male,rural,No
29,0000001,Male,rural,Yes
30,0000001,Male,rural,No
31,0000001,Male,rural,No
32,0000001,Male,rural,NA
33,0000001,Male,rural,No
34,0000001,Male,rural,Yes
35,0000001,Male,rural,Yes
36,0000001,Male,rural,Yes
37,0000001,Male,rural,No
38,0000001,Male,rural,No
39,0000001,Male,rural,NA
40,0000010,Female,rural,Yes
41,0000010,Female,rural,Yes
42,0000010,Female,rural,No
43,0000010,Female,rural,Yes
44,0000010,Female,rural,No
45,0000010,Female,rural,Yes
46,0000010,Female,rural,No
47,0000010,Female,rural,No
48,0000010,Female,rural,No
49,0000010,Female,rural,NA
50,0000010,Female,rural,NA
51,0000010,Female,rural,NA
52,0000010,Male,rural,Yes
53,0000010,Male,rural,No
54,0000010,Male,rural,Yes
55,0000010,Male,rural,No
56,0000010,Male,rural,Yes
57,0000010,Male,rural,Yes
58,0000010,Male,rural,No
59,0000010,Male,rural,No
60,0000010,Male,rural,Yes
61,0000010,Male,rural,NA
62,0000010,Male,rural,Yes
63,0000011,Female,rural,No
64,0000011,Female,rural,Yes
65,0000011,Female,rural,NA
66,0000011,Female,rural,No
67,0000011,Female,rural,No
68,0000011,Female,rural,NA
69,0000011,Female,rural,Yes
70,0000011,Female,rural,Yes
71,0000011,Female,rural,NA
72,0000011,Female,rural,Yes
73,0000011,Female,rural,Yes
74,0000011,Male,rural,No
75,0000011,Male,rural,NA
76,0000011,Male,rural,Yes
77,0000011,Male,rural,NA
78,0000011,Male,rural,Yes
79,0000011,Male,rural,No
80,0000011,Male,rural,NA
81,0000011,Male,rural,Yes
82,0000011,Male,rural,No
83,0000011,Male,rural,Yes
84,0000011,Male,rural,NA
85,0000011,Male,rural,No
86,0000100,Female,rural,NA
87,0000100,Female,rural,No
88,0000100,Female,rural,Yes
89,0000100,Female,rural,NA
90,0000100,Female,rural,No
91,0000100,Female,rural,NA
92,0000100,Female,rural,NA
93,0000100,Male,rural,No
94,0000100,Male,rural,No
95,0000100,Male,rural,No
96,0000100,Male,rural,Yes
97,0000100,Male,rural,Yes
98,0000100,Male,rural,NA
99,0000100,Male,rural,NA
100,0000100,Male,rural,Yes
101,0000100,Male,rural,NA
102,0000110,Female,rural,NA
103,0000110,Female,rural,No
104,0000110,Female,rural,No
105,0000110,Female,rural,No
106,0000110,Female,rural,NA
107,0000110,Female,rural,No
108,0000110,Male,rural,No
109,0000110,Male,rural,Yes
110,0000110,Male,rural,No
111,0000100,Female,rural,Yes
112,0000100,Female,rural,NA
113,0000111,Female,rural,Yes
114,0000100,Female,rural,NA
115,0000110,Female,rural,NA
116,0000100,Female,rural,No
117,0000111,Male,rural,NA
118,0000111,Male,rural,No
119,0000111,Male,rural,Yes
120,0000111,Male,rural,No
121,0000111,Male,rural,No
122,0000100,Male,rural,No
123,0000111,Male,rural,NA
124,0000111,Male,rural,No
125,0000111,Male,rural,Yes
126,0000111,Male,rural,No
127,0001000,Female,rural,NA
128,0001000,Female,rural,No
129,0001000,Female,rural,No
130,0001000,Female,rural,NA
131,0001000,Female,rural,No
132,0001000,Female,rural,Yes
133,0001000,Female,rural,NA
134,0001000,Female,rural,No
135,0001000,Female,rural,Yes
136,0001000,Female,rural,NA
