ch,species,sex,wing_mm,fat,muscle,weight_g,blood_infection
010,RS,m,123,1,1,20.8,yes
100,RS,f,123,2,2,18,yes
100,RS,m,127,2,2,19.4,yes
101,RS,f,121,4,3,22.3,yes
100,RS,m,126,1,1,19.9,yes
110,RS,m,128,1,2,19.8,yes
100,RS,m,125,2,2,20.2,yes
100,RS,f,124,2,2,20.8,yes
100,RS,m,127,1,2,19.5,yes
100,RS,m,129,1,2,20.1,yes
100,RS,f,129,2,2,21,yes
100,RS,f,126,2,2,22.1,yes
110,RS,f,129,2,2,NA,yes
100,RS,f,126,2,2,20.8,yes
100,RS,m,124,0,2,19,yes
100,RS,f,125,1,2,18.8,yes
100,RS,m,126,2,2,19.4,yes
100,MS,m,114,2,2,20.5,yes
100,MS,f,111,3,3,20.5,yes
100,MS,f,112,3,3,24.5,yes
100,MS,m,111,1,1,19.7,yes
100,MS,m,110,0,1,17.3,yes
111,MS,m,111,1,1,19.2,yes
111,MS,m,108,1,1,18.4,yes
100,MS,m,110,0,1,19,yes
100,MS,m,111,2,2,20.5,yes
111,MS,f,111,3,2,20.1,yes
110,MS,f,110,2,3,20.5,yes
100,MS,m,110,2,3,18.3,yes
100,MS,m,115,1,3,19.4,yes
100,MS,f,105,2,3,17.7,yes
100,MS,f,111,1,1,17.8,yes
110,MS,m,110,0,2,19,yes
100,MS,f,106,2,2,20,yes
111,MS,f,113,3,2,21.3,yes
100,MS,f,115,3,2,19.2,yes
100,MS,m,112,0,1,18.1,yes
100,MS,m,111,1,1,19,yes
100,MS,m,113,2,3,19.2,yes
100,MS,f,116,1,0,18.2,yes
110,MS,m,113,1,3,17.8,yes
100,MS,m,113,1,1,18.5,yes
100,MS,f,111,3,2,20.6,yes
111,MS,m,114,0,1,17.3,yes
100,MS,f,112,3,1,20.9,yes
111,MS,m,111,0,2,20.3,yes
111,MS,m,112,1,2,17.5,yes
110,MS,m,112,2,2,21.1,yes
100,MS,f,112,2,2,18.9,yes
110,MS,m,113,0,2,18.1,yes
100,MS,m,113,1,3,21.9,yes
100,MS,f,109,2,2,19.5,yes
111,MS,m,111,0,2,18.6,yes
100,RS,m,125,2,2,18.5,yes
110,RS,f,123,3,1,21.8,yes
100,RS,m,110,2,1,21.3,yes
100,RS,m,128,0,2,19,yes
100,RS,f,127,3,2,22.2,yes
110,RS,f,125,3,2,21.4,yes
100,RS,f,108,2,1,16.3,yes
110,RS,m,126,0,1,22,yes
101,RS,f,122,3,3,23.1,yes
100,RS,m,131,1,1,21.1,yes
100,RS,m,126,1,2,20.5,yes
100,RS,m,126,1,1,19.5,yes
110,MS,f,109,2,2,17.9,yes
100,MS,m,109,2,2,20.1,yes
100,MS,m,114,1,3,19.2,yes
101,MS,f,115,0,1,17.1,yes
100,MS,f,112,2,2,21.6,yes
100,MS,f,110,3,1,20.1,yes
111,MS,f,111,2,2,19,yes
010,MS,m,114,1,1,19.6,yes
010,RS,m,124,1,1,18.5,yes
010,RS,f,123,1,1,18.6,yes
011,RS,f,121,2,1,20.7,yes
010,RS,m,126,1,1,19.4,yes
010,RS,m,125,1,1,18.5,yes
010,RS,f,126,3,2,21.8,yes
010,RS,f,125,2,1,20.1,yes
010,RS,m,124,1,1,16.7,yes
011,RS,f,128,2,2,20.8,yes
011,RS,f,122,1,1,19.9,yes
011,RS,m,127,1,1,18.3,yes
010,RS,f,128,2,2,21.3,yes
010,RS,f,125,4,2,22,yes
010,RS,m,121,1,1,17.4,yes
011,RS,f,124,1,1,19.8,yes
010,RS,f,123,2,1,22.2,yes
010,RS,f,128,3,2,17.5,yes
010,RS,f,122,1,1,19,yes
010,RS,m,122,1,1,15.8,yes
011,RS,m,121,1,3,18.9,yes
010,RS,f,122,1,2,22.7,yes
010,RS,m,125,1,1,19.9,no
010,RS,f,122,3,2,22.3,yes
010,RS,f,122,1,1,18.4,yes
011,RS,m,123,2,2,19,yes
011,RS,f,128,3,2,21.8,yes
010,RS,m,124,4,2,20.6,yes
010,RS,m,128,1,2,NA,yes
011,RS,f,125,1,1,21.1,yes
010,RS,m,125,1,1,NA,yes
010,RS,m,122,1,2,17.9,yes
010,RS,m,127,1,2,18.4,yes
