"species","long","lat"
"Pardofelis marmorata",118.06667,5.616667
"Pardofelis marmorata",115.1051333333,3.2923
"Pardofelis marmorata",110.116667,-1.216667
"Pardofelis marmorata",114.97,-3.55
"Pardofelis marmorata",117.75,5.02
"Pardofelis marmorata",113.90899,-2.32039
"Pardofelis marmorata",113.90899,-2.32039
"Pardofelis marmorata",113.88941,-2.3162
"Pardofelis marmorata",113.83941,-2.31324
"Pardofelis marmorata",118.506129309883,5.2013570224708
"Pardofelis marmorata",118.506129309883,5.2013570224708
"Pardofelis marmorata",115.783333,5.416667
"Pardofelis marmorata",117.795839,4.969705
"Pardofelis marmorata",117.769918,5.026651
"Pardofelis marmorata",117.84193,4.970902
"Pardofelis marmorata",117.84193,4.970902
"Pardofelis marmorata",117.84193,4.970902
"Pardofelis marmorata",117.851756221722,4.95320265143318
"Pardofelis marmorata",117.842707949959,4.93736622786055
"Pardofelis marmorata",117.881858007386,5.00418021091676
"Pardofelis marmorata",117.88914657985,4.95084684118685
"Pardofelis marmorata",117.810921319327,5.0082700954042
"Pardofelis marmorata",117.784147449861,4.96838366814095
"Pardofelis marmorata",117.775987800917,4.97871458501089
"Pardofelis marmorata",117.706683313378,5.1237355310719
"Pardofelis marmorata",117.634264315184,5.09639286077703
"Pardofelis marmorata",117.686089947079,5.17760842023005
"Pardofelis marmorata",117.753437968499,5.08033461184175
"Pardofelis marmorata",118.576425587105,5.19777583951483
"Pardofelis marmorata",118.533305728049,5.23751012969694
"Pardofelis marmorata",118.572303333207,5.23401315122686
"Pardofelis marmorata",118.505556144101,5.27095690118495
"Pardofelis marmorata",118.5565179671,5.22347196929463
"Pardofelis marmorata",117.2348,5.2348
"Pardofelis marmorata",117.32,5.2
"Pardofelis marmorata",117.28,5.1948
"Pardofelis marmorata",117.3,5.1824
"Pardofelis marmorata",117.32,5.1624
"Pardofelis marmorata",117.24,5.16
"Pardofelis marmorata",117.16,5.2824
"Pardofelis marmorata",114.55,-3.366667
"Pardofelis marmorata",117.936111111111,4.46944444444444
"Pardofelis marmorata",116.68,6
"Pardofelis marmorata",117.795839,4.9697
"Pardofelis marmorata",117.5518056,5.286805556
"Pardofelis marmorata",117.5518056,5.286805556
"Pardofelis marmorata",117.5670833,5.323277778
"Pardofelis marmorata",117.64,4.95
"Pardofelis marmorata",117.64,4.95
"Pardofelis marmorata",115.406111111111,3.86638888888889
"Pardofelis marmorata",115.4125,3.91388888888889
"Pardofelis marmorata",118.5,5.5
"Pardofelis marmorata",117.82,4.96
"Pardofelis marmorata",116.833333,-1.15
"Pardofelis marmorata",116.0852,-0.5738833333
"Pardofelis marmorata",112.85995,2.53073333333333
"Pardofelis marmorata",117.527456,5.612118
"Pardofelis marmorata",117.531312,5.57826
"Pardofelis marmorata",115.5,3.75
"Pardofelis marmorata",114.25,4.6
"Pardofelis marmorata",115.5,3.75
"Pardofelis marmorata",118.656,5.603
"Pardofelis marmorata",116.833333,-1.083333
"Pardofelis marmorata",114.8555342,-0.112713332
"Pardofelis marmorata",114.583333,-0.58
"Pardofelis marmorata",115.8,2.883333
"Pardofelis marmorata",113.095,2.936
"Pardofelis marmorata",116.58759,3.12414
"Pardofelis marmorata",115.999167,-1.452222
"Pardofelis marmorata",114.02,4.12
"Pardofelis marmorata",111.15,1.083333
"Pardofelis marmorata",112.233333,1.65
"Pardofelis marmorata",118.074292281961,5.55028142507782
"Pardofelis marmorata",118.098139949594,5.4605671073884
"Pardofelis marmorata",118.210161734156,5.52105849691891
"Pardofelis marmorata",118.211278499206,5.50200855079615
"Pardofelis marmorata",115.128908,3.390506
"Pardofelis marmorata",116.92599,4.70725
"Pardofelis marmorata",116.88565,4.70758
"Pardofelis marmorata",116.91649,4.7446
"Pardofelis marmorata",109.9,0.9
"Pardofelis marmorata",116.52,3.09
"Pardofelis marmorata",117.06,-0.79
"Pardofelis marmorata",116.51,-0.99
"Pardofelis marmorata",118.38,5.7
"Pardofelis marmorata",118.53,5.53
"Pardofelis marmorata",113.98,4.38
"Pardofelis marmorata",116.68,5.17
"Pardofelis marmorata",112.161944,0.789167
"Pardofelis marmorata",116.77795,1.56365
"Pardofelis marmorata",116.78685,1.57108
