"species","long","lat"
"Viverra tangalunga",110.36,-2.36
"Viverra tangalunga",110.2167,-2.5333
"Viverra tangalunga",110.2167,-2.5333
"Viverra tangalunga",117.5,2.17
"Viverra tangalunga",118.03,6.01
"Viverra tangalunga",118.23333,5.83333
"Viverra tangalunga",114.13,3.26
"Viverra tangalunga",115.140549913471,1.06917711718705
"Viverra tangalunga",115.140549913471,1.06917711718705
"Viverra tangalunga",115.140549913471,1.06917711718705
"Viverra tangalunga",117.2,1.68333333
"Viverra tangalunga",118.629167,1.222222
"Viverra tangalunga",115.9507,0.20206666666667
"Viverra tangalunga",115.079144980743,0.753802246435971
"Viverra tangalunga",117.247479555453,1.65163939826124
"Viverra tangalunga",117.011264593138,1.56964162213994
"Viverra tangalunga",116.982523929648,1.48541169380487
"Viverra tangalunga",117.744120569654,1.72624762061879
"Viverra tangalunga",109.95,0.38
"Viverra tangalunga",110.166667,0.883333
"Viverra tangalunga",111.8,-1.75
"Viverra tangalunga",115.716667,2.75
"Viverra tangalunga",114.13,3.26
"Viverra tangalunga",117.848,4.858
"Viverra tangalunga",113.834166666667,0.049722222222
"Viverra tangalunga",114.0030555555,-0.061944444444444
"Viverra tangalunga",115.23365,3.43723333333333
"Viverra tangalunga",115.17215,3.24953333333333
"Viverra tangalunga",115.180983333333,3.22383333333333
"Viverra tangalunga",115.17515,3.23831666666667
"Viverra tangalunga",115.18605,3.22653333333333
"Viverra tangalunga",115.2113,3.42788333333333
"Viverra tangalunga",113.3,3.516667
"Viverra tangalunga",113.17,3.33
"Viverra tangalunga",118.2222222222,5.480277777777
"Viverra tangalunga",117.858055555556,4.98166666666667
"Viverra tangalunga",115.066667,0.8
"Viverra tangalunga",110.116666666667,-1.216667
"Viverra tangalunga",110.116667,-1.216667
"Viverra tangalunga",110.116667,-1.216667
"Viverra tangalunga",110.116667,-1.216667
"Viverra tangalunga",110.116667,-1.216667
"Viverra tangalunga",113.12,2.02
"Viverra tangalunga",115.716667,2.75
"Viverra tangalunga",116.58,2.78
"Viverra tangalunga",116.58,2.78
"Viverra tangalunga",116.58,2.78
"Viverra tangalunga",116.58,2.78
"Viverra tangalunga",111.8,-1.75
"Viverra tangalunga",111.8,-1.75
"Viverra tangalunga",111.8,-1.75
"Viverra tangalunga",111.8,-1.75
"Viverra tangalunga",109.95,0.38
"Viverra tangalunga",117.48,4.42
"Viverra tangalunga",117.48,4.42
"Viverra tangalunga",117.48,4.42
"Viverra tangalunga",117.48,4.42
"Viverra tangalunga",114.65,3.2333
"Viverra tangalunga",114.13,3.26
"Viverra tangalunga",116.68,5.17
"Viverra tangalunga",114.13,3.26
"Viverra tangalunga",118.066667,5.616667
"Viverra tangalunga",118.066667,5.616667
"Viverra tangalunga",118.06667,5.616667
"Viverra tangalunga",117.55,5.28
"Viverra tangalunga",114.85,2.85
"Viverra tangalunga",114.65,2.7
"Viverra tangalunga",114.65,2.7
"Viverra tangalunga",114.52,2.68
"Viverra tangalunga",114.85,2.85
"Viverra tangalunga",111.7,0.666667
"Viverra tangalunga",111.7,0.666667
"Viverra tangalunga",111.7,0.666667
"Viverra tangalunga",114.75,3.8
"Viverra tangalunga",118.38,5.7
"Viverra tangalunga",110.733333,1.533333
"Viverra tangalunga",116.7,-1.05
"Viverra tangalunga",117.866667,5.783333
