key-bin-checksum,tag-serial-number,start-timestamp,longitude,latitude,height-above-ellipsoid,type-of-fix,status,used-time-to-get-fix,timestamp-of-fix,battery-voltage,fix-battery-voltage,temperature,speed-over-ground,heading-degree,speed-accuracy-estimate,horizontal-accuracy-estimate
2135768252,5334,2018-10-30 04:00:00.000,13.4704723,52.4949932,76.3,3,A,22,2018-10-30 04:00:23.000,3604,3389,10,1.64,233.31,1.67,7.94
2210577241,5334,2018-10-30 04:20:00.000,13.4715696,52.4952569,81.6,3,A,18,2018-10-30 04:20:19.000,3616,3333,11,4.43,327.02,3.79,59.65
1824790132,5334,2018-10-30 04:40:00.000,13.4710276,52.4952501,66.5,3,A,53,2018-10-30 04:40:54.000,3624,3374,13,0.07,0.00,0.73,15.36
4079427513,5334,2018-10-30 07:00:00.000,13.4710869,52.4952557,73.5,3,A,24,2018-10-30 07:00:25.000,3659,3491,11,0.01,0.00,0.65,7.17
0380027806,5334,2018-10-30 08:00:00.000,13.4710496,52.4952713,71.1,3,A,47,2018-10-30 08:00:48.000,3660,3470,13,0.04,0.00,0.89,8.45
3352806116,5334,2018-10-30 12:00:00.000,13.4710489,52.4952837,71.5,3,A,23,2018-10-30 12:00:24.000,3664,3508,14,0.02,0.00,0.44,3.84
2126861958,5334,2018-10-30 15:20:00.000,13.4710629,52.4952930,77.8,3,A,23,2018-10-30 15:20:24.000,3664,3453,12,0.04,0.00,0.60,7.42
0884211998,5334,2018-10-30 16:00:00.000,13.4710157,52.4953654,70.6,3,A,24,2018-10-30 16:00:25.000,3662,3505,11,0.02,0.00,0.63,5.12
0741954038,5334,2018-10-30 17:40:00.000,13.4713130,52.4955852,74.2,3,A,42,2018-10-30 17:40:43.000,3626,3409,8,1.14,302.78,0.35,2.82
3465980266,5334,2018-10-30 18:00:00.000,13.4722271,52.4962494,48.8,3,A,13,2018-10-30 18:00:14.000,3607,3376,8,0.01,0.00,0.80,3.58
1770828382,5334,2018-10-30 18:20:00.000,13.4742156,52.4943921,74.0,3,A,13,2018-10-30 18:20:14.000,3597,3402,9,0.14,0.00,0.20,3.07
1380213233,5334,2018-10-30 18:40:00.000,13.4751989,52.4952024,59.9,3,A,13,2018-10-30 18:40:14.000,3607,3352,8,0.20,328.99,0.58,3.58
1508695774,5334,2018-10-30 19:00:00.000,13.4752417,52.4951707,67.5,3,A,14,2018-10-30 19:00:15.000,3621,3438,7,0.34,328.99,1.05,7.42
1359611553,5334,2018-10-30 20:00:00.000,13.4753182,52.4951274,75.8,3,A,23,2018-10-30 20:00:24.000,3656,3486,6,0.01,0.00,0.55,4.35
2684094127,5334,2018-10-30 20:20:00.000,13.4737355,52.4949395,113.4,3,A,21,2018-10-30 20:20:22.000,3642,3425,8,0.11,122.55,0.80,16.64
3519132372,5334,2018-10-30 20:40:00.000,13.4734291,52.4940163,67.7,3,A,13,2018-10-30 20:40:14.000,3626,3371,9,0.08,0.00,0.73,3.33
1799420304,5334,2018-10-30 21:00:00.000,13.4741793,52.4942844,67.6,3,A,13,2018-10-30 21:00:14.000,3629,3428,8,0.04,41.29,0.49,3.07
3530771260,5334,2018-10-30 21:20:00.000,13.4759708,52.4944635,76.5,3,A,13,2018-10-30 21:20:14.000,3623,3415,7,1.54,128.45,0.50,4.61
3754664221,5334,2018-10-30 21:40:00.000,13.4781559,52.4912941,81.5,3,A,15,2018-10-30 21:40:16.000,3621,3394,9,0.61,149.42,0.32,11.26
1272457887,5334,2018-10-30 22:00:00.000,13.4796679,52.4906182,78.5,3,A,24,2018-10-30 22:00:25.000,3621,3400,10,0.00,0.00,0.31,3.33
1710555053,5334,2018-10-30 22:40:00.000,13.4799307,52.4904523,74.2,3,A,13,2018-10-30 22:40:14.000,3632,3367,10,0.02,123.86,0.42,4.10
1727467602,5334,2018-10-30 23:00:00.000,13.4766462,52.4923006,98.9,3,A,20,2018-10-30 23:00:20.000,3621,3317,8,0.78,0.00,0.35,18.94
1031100696,5334,2018-10-30 23:20:00.000,13.4746965,52.4936932,76.0,3,A,13,2018-10-30 23:20:14.000,3616,3342,9,0.15,152.04,0.62,3.58
0434101463,5334,2018-10-30 23:40:00.000,13.4740440,52.4942746,70.5,3,A,13,2018-10-30 23:40:14.000,3614,3402,8,0.71,242.48,0.31,3.07
2672627373,5334,2018-10-31 00:00:00.000,13.4708509,52.4941058,155.0,3,A,27,2018-10-31 00:00:28.000,3614,3308,8,0.44,240.52,0.79,15.87
3435255210,5334,2018-10-31 00:20:00.000,13.4700942,52.4966089,75.3,3,A,38,2018-10-31 00:20:38.000,3612,3366,9,1.56,194.64,1.47,3.58
2862414918,5334,2018-10-31 00:40:00.000,13.4710452,52.4980538,75.2,3,A,14,2018-10-31 00:40:15.000,3608,3327,8,0.71,342.10,1.29,15.87
1189324116,5334,2018-10-31 01:00:00.000,13.4720461,52.4966251,74.2,3,A,13,2018-10-31 01:00:14.000,3612,3394,8,0.56,135.66,0.72,8.96
0848555946,5334,2018-10-31 01:20:00.000,13.4702342,52.4937195,85.7,3,A,20,2018-10-31 01:20:21.000,3612,3305,8,0.71,116.65,0.43,6.40
1569071731,5334,2018-10-31 01:40:00.000,13.4706543,52.4935331,72.4,3,A,13,2018-10-31 01:40:14.000,3612,3332,7,0.04,0.00,0.26,3.84
0917267503,5334,2018-10-31 02:00:00.000,13.4709574,52.4934934,74.0,3,A,13,2018-10-31 02:00:14.000,3612,3389,7,0.58,45.88,0.26,4.10
3342323209,5334,2018-10-31 02:20:00.000,13.4734597,52.4935062,76.2,3,A,11,2018-10-31 02:20:12.000,3612,3312,6,0.12,329.65,0.57,5.63
2158103263,5334,2018-10-31 02:40:00.000,13.4716926,52.4948074,75.1,3,A,19,2018-10-31 02:40:20.000,3612,3327,8,0.33,267.39,0.56,6.40
2341068223,5334,2018-10-31 03:00:00.000,13.4714199,52.4944443,256.2,3,A,16,2018-10-31 03:00:17.000,3614,3361,9,0.76,9.18,2.67,36.61
0802408316,5334,2018-10-31 03:20:00.000,13.4711994,52.4952645,81.2,3,A,23,2018-10-31 03:20:24.000,3621,3352,10,0.13,163.84,0.45,10.24
3148922653,5334,2018-10-31 03:40:00.000,13.4710157,52.4952986,81.6,3,A,25,2018-10-31 03:40:26.000,3626,3394,7,0.09,0.00,0.79,7.42
